"fraction","season","year","month","weekday","hour","holiday","temperature","feelslike","windspeed","humidity","weather"
0.1875,"spring",2011,"Jan","Saturday",0,"No",9.84,14.395,0,81,"clear"
0.2,"spring",2011,"Jan","Saturday",1,"No",9.02,13.635,0,80,"clear"
0.15625,"spring",2011,"Jan","Saturday",2,"No",9.02,13.635,0,80,"clear"
0.230769230769231,"spring",2011,"Jan","Saturday",3,"No",9.84,14.395,0,75,"clear"
0,"spring",2011,"Jan","Saturday",4,"No",9.84,14.395,0,75,"clear"
0,"spring",2011,"Jan","Saturday",5,"No",9.84,12.88,6,75,"mist"
1,"spring",2011,"Jan","Saturday",6,"No",9.02,13.635,0,80,"clear"
0.333333333333333,"spring",2011,"Jan","Saturday",7,"No",8.2,12.88,0,86,"clear"
0.125,"spring",2011,"Jan","Saturday",8,"No",9.84,14.395,0,75,"clear"
0.571428571428571,"spring",2011,"Jan","Saturday",9,"No",13.12,17.425,0,76,"clear"
0.333333333333333,"spring",2011,"Jan","Saturday",10,"No",15.58,19.695,17,76,"clear"
0.464285714285714,"spring",2011,"Jan","Saturday",11,"No",14.76,16.665,19,81,"clear"
0.345238095238095,"spring",2011,"Jan","Saturday",12,"No",17.22,21.21,19,77,"clear"
0.5,"spring",2011,"Jan","Saturday",13,"No",18.86,22.725,20,72,"mist"
0.330188679245283,"spring",2011,"Jan","Saturday",14,"No",18.86,22.725,19,72,"mist"
0.363636363636364,"spring",2011,"Jan","Saturday",15,"No",18.04,21.97,20,77,"mist"
0.440860215053763,"spring",2011,"Jan","Saturday",16,"No",17.22,21.21,20,82,"mist"
0.223880597014925,"spring",2011,"Jan","Saturday",17,"No",18.04,21.97,19,82,"mist"
0.257142857142857,"spring",2011,"Jan","Saturday",18,"No",17.22,21.21,17,88,"lightRainSnow"
0.162162162162162,"spring",2011,"Jan","Saturday",19,"No",17.22,21.21,17,88,"lightRainSnow"
0.305555555555556,"spring",2011,"Jan","Saturday",20,"No",16.4,20.455,17,87,"mist"
0.0882352941176471,"spring",2011,"Jan","Saturday",21,"No",16.4,20.455,13,87,"mist"
0.392857142857143,"spring",2011,"Jan","Saturday",22,"No",16.4,20.455,15,94,"mist"
0.384615384615385,"spring",2011,"Jan","Saturday",23,"No",18.86,22.725,20,88,"mist"
0.235294117647059,"spring",2011,"Jan","Sunday",0,"No",18.86,22.725,20,88,"mist"
0.0588235294117647,"spring",2011,"Jan","Sunday",1,"No",18.04,21.97,17,94,"mist"
0.111111111111111,"spring",2011,"Jan","Sunday",2,"No",17.22,21.21,19,100,"mist"
0.333333333333333,"spring",2011,"Jan","Sunday",3,"No",18.86,22.725,13,94,"mist"
0.666666666666667,"spring",2011,"Jan","Sunday",4,"No",18.86,22.725,13,94,"mist"
0,"spring",2011,"Jan","Sunday",6,"No",17.22,21.21,20,77,"lightRainSnow"
0,"spring",2011,"Jan","Sunday",7,"No",16.4,20.455,13,76,"mist"
0,"spring",2011,"Jan","Sunday",8,"No",16.4,20.455,15,71,"lightRainSnow"
0.05,"spring",2011,"Jan","Sunday",9,"No",15.58,19.695,15,76,"mist"
0.132075471698113,"spring",2011,"Jan","Sunday",10,"No",14.76,17.425,15,81,"mist"
0.228571428571429,"spring",2011,"Jan","Sunday",11,"No",14.76,16.665,17,71,"mist"
0.21505376344086,"spring",2011,"Jan","Sunday",12,"No",14.76,16.665,20,66,"mist"
0.146666666666667,"spring",2011,"Jan","Sunday",13,"No",14.76,17.425,9,66,"mist"
0.0677966101694915,"spring",2011,"Jan","Sunday",14,"No",14.76,17.425,13,76,"lightRainSnow"
0.256756756756757,"spring",2011,"Jan","Sunday",15,"No",13.94,16.665,11,81,"lightRainSnow"
0.118421052631579,"spring",2011,"Jan","Sunday",16,"No",13.94,16.665,11,71,"lightRainSnow"
0.107692307692308,"spring",2011,"Jan","Sunday",17,"No",13.94,16.665,13,57,"clear"
0.188679245283019,"spring",2011,"Jan","Sunday",18,"No",14.76,16.665,22,46,"mist"
0.0333333333333333,"spring",2011,"Jan","Sunday",19,"No",13.12,14.395,30,42,"clear"
0.227272727272727,"spring",2011,"Jan","Sunday",20,"No",12.3,13.635,24,39,"clear"
0.354838709677419,"spring",2011,"Jan","Sunday",21,"No",10.66,11.365,22,44,"clear"
0,"spring",2011,"Jan","Sunday",22,"No",9.84,10.605,20,44,"clear"
0,"spring",2011,"Jan","Sunday",23,"No",9.02,11.365,11,47,"clear"
0,"spring",2011,"Jan","Monday",0,"No",9.02,9.85,24,44,"clear"
0,"spring",2011,"Jan","Monday",1,"No",8.2,8.335,28,44,"clear"
0,"spring",2011,"Jan","Monday",4,"No",6.56,6.82,26,47,"clear"
0,"spring",2011,"Jan","Monday",5,"No",6.56,6.82,19,47,"clear"
0,"spring",2011,"Jan","Monday",6,"No",5.74,5.305,26,50,"clear"
0.015625,"spring",2011,"Jan","Monday",7,"No",5.74,6.82,13,50,"clear"
0.00649350649350649,"spring",2011,"Jan","Monday",8,"No",5.74,6.06,19,50,"clear"
0.0795454545454545,"spring",2011,"Jan","Monday",9,"No",6.56,6.82,26,43,"clear"
0.25,"spring",2011,"Jan","Monday",10,"No",7.38,8.335,17,43,"clear"
0.196078431372549,"spring",2011,"Jan","Monday",11,"No",8.2,9.09,22,40,"clear"
0.213114754098361,"spring",2011,"Jan","Monday",12,"No",9.02,10.605,20,35,"clear"
0.131147540983607,"spring",2011,"Jan","Monday",13,"No",9.84,10.605,19,35,"clear"
0.142857142857143,"spring",2011,"Jan","Monday",14,"No",10.66,12.12,19,30,"clear"
0.194444444444444,"spring",2011,"Jan","Monday",15,"No",10.66,12.12,17,30,"clear"
0.118421052631579,"spring",2011,"Jan","Monday",16,"No",10.66,12.12,17,30,"clear"
0.0700636942675159,"spring",2011,"Jan","Monday",17,"No",9.84,11.365,15,30,"clear"
0.0573248407643312,"spring",2011,"Jan","Monday",18,"No",9.84,12.88,7,32,"clear"
0.0727272727272727,"spring",2011,"Jan","Monday",19,"No",8.2,12.88,0,47,"clear"
0.0576923076923077,"spring",2011,"Jan","Monday",20,"No",8.2,11.365,7,47,"clear"
0.0576923076923077,"spring",2011,"Jan","Monday",21,"No",7.38,9.85,9,64,"clear"
0,"spring",2011,"Jan","Monday",22,"No",5.74,7.575,9,69,"clear"
0.0833333333333333,"spring",2011,"Jan","Monday",23,"No",7.38,10.605,7,55,"clear"
0,"spring",2011,"Jan","Tuesday",0,"No",6.56,9.09,7,55,"clear"
0,"spring",2011,"Jan","Tuesday",1,"No",6.56,9.09,7,59,"clear"
0,"spring",2011,"Jan","Tuesday",2,"No",5.74,7.575,9,63,"clear"
